iso_a3,total
AFG,0
AGO,0
ALB,7
ARE,81
ARG,185
ARM,7
AUS,557
AUT,481
AZE,0
BDI,0
BEL,1033
BEN,14
BFA,30
BGD,3
BGR,39
BHS,0
BIH,6
BLR,70
BLZ,0
BOL,0
BRA,1041
BRN,0
BTN,0
BWA,3
CAN,1451
CHE,779
CHL,256
CHN,1406
CIV,16
CMR,108
COD,1
COG,0
COL,116
CRI,11
CUB,2
CYP,27
CZE,219
DEU,2109
DJI,0
DNK,293
DOM,0
DZA,738
ECU,38
EGY,35
ERI,0
ESP,1098
EST,39
ETH,7
FIN,305
FJI,3
FLK,0
FRA,57126
GAB,0
GEO,0
GHA,1
GIN,1
GMB,0
GNB,3
GRB,2051
GRC,352
GRL,2
GTM,0
GUY,0
HND,0
HRV,27
HTI,0
HUN,119
IDN,26
IND,352
IRL,284
IRN,110
IRQ,2
ISL,63
ISR,267
ITA,2085
JAM,0
JOR,15
JPN,912
KAZ,6
KEN,7
KGZ,0
KHM,1
KOR,83
KWT,3
LBN,320
LBR,0
LBY,0
LKA,4
LSO,0
LTU,15
LUX,314
LVA,9
MAR,316
MDA,0
MDG,31
MEX,457
MKD,8
MLI,12
MNE,20
MNG,0
MOZ,0
MRT,2
MWI,0
MYS,36
NAM,0
NER,1
NGA,2
NIC,0
NLD,809
NOR,229
NPL,0
NZL,77
OMN,12
PAK,48
PAN,1
PER,17
PHL,12
PNG,0
POL,289
PRI,1
PRK,0
PRT,281
PRY,1
PSE,10
QAT,31
ROU,209
RUS,403
RWA,0
SAU,157
SDN,4
SEN,115
SLE,0
SLV,0
SOM,0
SRB,59
SUR,0
SVK,23
SVN,73
SWE,426
SYR,1
TGO,0
THA,47
TJK,0
TKM,0
TTO,0
TUN,1042
TUR,146
TWN,60
TZA,3
UGA,0
UKR,57
URY,36
USA,3261
UZB,0
VEN,41
VNM,144
VUT,0
YEM,1
ZAF,83
ZMB,0
ZWE,3
